,Name,Special,Preferred Foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Stamina,Long Shots,Aggression,Interceptions,Positioning,Penalties,Standing Tackle,Sliding Tackle
31,Jadon Sancho,1986,1,83.0,81.0,38.0,88.0,83.0,92.0,81.0,48.0,68.0,91.0,86.0,81.0,91.0,77.0,63.0,44.0,39.0,83.0,60.0,41.0,32.0
32,Mohamed Ihattaren,1900,0,73.0,68.0,52.0,75.0,66.0,84.0,75.0,72.0,73.0,86.0,76.0,74.0,77.0,68.0,63.0,54.0,34.0,66.0,70.0,42.0,36.0
33,Alex Nicolao Telles,2280,0,89.0,65.0,67.0,83.0,67.0,82.0,87.0,79.0,87.0,82.0,84.0,85.0,73.0,91.0,83.0,78.0,80.0,75.0,81.0,81.0,79.0
34,Thiago Almada,1915,1,63.0,73.0,39.0,71.0,69.0,79.0,81.0,67.0,67.0,77.0,88.0,85.0,91.0,69.0,73.0,59.0,43.0,69.0,73.0,45.0,43.0
35,Florian Wirtz,1729,1,59.0,66.0,43.0,67.0,59.0,74.0,61.0,52.0,64.0,76.0,72.0,76.0,84.0,49.0,63.0,51.0,37.0,58.0,60.0,44.0,47.0
36,Brandon Williams,1901,1,68.0,54.0,59.0,71.0,62.0,73.0,61.0,30.0,61.0,72.0,78.0,83.0,76.0,75.0,50.0,82.0,73.0,66.0,41.0,73.0,74.0
37,Noni Madueke,1767,0,57.0,67.0,42.0,66.0,60.0,79.0,69.0,58.0,62.0,76.0,79.0,78.0,83.0,52.0,62.0,48.0,31.0,58.0,61.0,32.0,37.0
38,Sergio Reguilón Rodríguez,2020,0,79.0,52.0,75.0,79.0,49.0,78.0,70.0,43.0,67.0,81.0,82.0,87.0,76.0,80.0,56.0,73.0,79.0,74.0,42.0,79.0,78.0
40,Bruno Miguel Borges Fernandes,2303,1,87.0,77.0,58.0,88.0,86.0,85.0,86.0,87.0,87.0,88.0,78.0,76.0,79.0,94.0,89.0,70.0,74.0,83.0,91.0,67.0,55.0
41,Dayot Upamecano,1788,1,48.0,39.0,81.0,75.0,21.0,68.0,32.0,28.0,73.0,65.0,69.0,84.0,62.0,61.0,34.0,81.0,77.0,45.0,39.0,84.0,77.0
42,José Diogo Dalot Teixeira,1987,1,78.0,52.0,69.0,75.0,44.0,78.0,76.0,44.0,60.0,75.0,78.0,79.0,73.0,74.0,64.0,80.0,75.0,70.0,43.0,72.0,68.0
43,Takefusa Kubo,1826,0,61.0,70.0,39.0,73.0,57.0,85.0,68.0,72.0,58.0,81.0,89.0,76.0,87.0,77.0,60.0,43.0,29.0,68.0,61.0,43.0,48.0
44,Allan Saint-Maximin,1872,1,70.0,67.0,53.0,76.0,59.0,91.0,73.0,58.0,66.0,83.0,93.0,93.0,93.0,77.0,71.0,36.0,17.0,74.0,58.0,18.0,23.0
45,Kai Havertz,2058,0,73.0,85.0,78.0,84.0,80.0,86.0,84.0,53.0,78.0,87.0,78.0,88.0,78.0,82.0,78.0,42.0,38.0,84.0,73.0,46.0,38.0
46,Vinícius José de Oliveira Júnior,1916,1,71.0,68.0,50.0,72.0,70.0,88.0,77.0,62.0,67.0,85.0,95.0,95.0,94.0,79.0,68.0,58.0,26.0,75.0,65.0,25.0,18.0
47,Edmond Tapsoba,1847,1,39.0,54.0,77.0,80.0,33.0,61.0,46.0,32.0,74.0,62.0,71.0,76.0,65.0,74.0,30.0,82.0,76.0,27.0,77.0,81.0,76.0
48,Houssem Aouar,2119,1,68.0,76.0,59.0,85.0,68.0,85.0,80.0,70.0,80.0,85.0,78.0,74.0,82.0,76.0,75.0,67.0,69.0,78.0,71.0,68.0,58.0
49,Matheus Santos Carneiro Da Cunha,1967,1,75.0,82.0,64.0,74.0,75.0,85.0,77.0,60.0,65.0,83.0,78.0,79.0,83.0,75.0,79.0,69.0,20.0,78.0,70.0,28.0,35.0
50,Kylian Mbappé,2147,1,78.0,91.0,73.0,83.0,83.0,92.0,79.0,63.0,70.0,90.0,96.0,96.0,92.0,86.0,79.0,62.0,38.0,91.0,70.0,34.0,32.0
51,Carlos Vinícius Alves Morais,1853,0,45.0,83.0,70.0,68.0,76.0,77.0,65.0,36.0,47.0,78.0,74.0,76.0,65.0,77.0,70.0,84.0,41.0,84.0,71.0,33.0,25.0
52,Jonathan David,1824,1,63.0,81.0,72.0,76.0,71.0,79.0,56.0,34.0,73.0,78.0,82.0,87.0,78.0,83.0,69.0,25.0,17.0,75.0,78.0,21.0,19.0
53,Tariq Lamptey,1641,1,68.0,29.0,56.0,61.0,29.0,65.0,46.0,35.0,57.0,62.0,86.0,79.0,77.0,63.0,33.0,64.0,60.0,52.0,40.0,60.0,62.0
54,Marcus Rashford,2149,1,77.0,83.0,68.0,81.0,73.0,87.0,82.0,76.0,69.0,85.0,89.0,93.0,86.0,87.0,81.0,73.0,42.0,82.0,81.0,40.0,33.0
55,Frenkie de Jong,2185,1,75.0,63.0,66.0,90.0,69.0,87.0,84.0,64.0,86.0,88.0,80.0,80.0,83.0,90.0,61.0,70.0,82.0,73.0,45.0,76.0,77.0
56,Kalvin Phillips,2009,1,65.0,64.0,64.0,73.0,55.0,65.0,52.0,67.0,78.0,72.0,65.0,66.0,68.0,85.0,67.0,84.0,73.0,66.0,58.0,77.0,72.0
57,Dominik Szoboszlai,1929,1,74.0,72.0,58.0,75.0,76.0,80.0,87.0,86.0,77.0,80.0,77.0,82.0,75.0,70.0,79.0,40.0,32.0,63.0,69.0,38.0,26.0
58,Ricard Puig Martí,1889,1,60.0,61.0,49.0,82.0,56.0,81.0,66.0,51.0,79.0,83.0,69.0,67.0,81.0,66.0,58.0,65.0,58.0,57.0,55.0,61.0,53.0
59,Maxence Caqueret,1913,1,54.0,55.0,42.0,78.0,49.0,76.0,64.0,52.0,75.0,76.0,74.0,71.0,83.0,74.0,59.0,80.0,75.0,67.0,53.0,74.0,65.0
60,Eric García Martret,1636,1,35.0,30.0,68.0,69.0,31.0,58.0,51.0,31.0,60.0,68.0,57.0,65.0,60.0,68.0,25.0,72.0,73.0,31.0,44.0,74.0,70.0
61,João Mário Naval Costa Eduardo,2045,1,76.0,64.0,55.0,84.0,69.0,84.0,74.0,67.0,79.0,85.0,71.0,68.0,80.0,77.0,72.0,60.0,72.0,73.0,66.0,70.0,62.0
62,Adama Traoré Diarra,1918,1,79.0,66.0,40.0,72.0,52.0,92.0,67.0,42.0,54.0,83.0,97.0,96.0,85.0,77.0,65.0,70.0,41.0,64.0,47.0,38.0,35.0
63,Boubacar Kamara,1901,1,60.0,39.0,72.0,79.0,28.0,67.0,64.0,43.0,79.0,78.0,70.0,69.0,70.0,77.0,50.0,78.0,80.0,43.0,63.0,79.0,77.0
64,Rúben Santos Gato Alves Dias,1749,1,34.0,29.0,82.0,73.0,30.0,57.0,33.0,26.0,72.0,62.0,63.0,67.0,54.0,86.0,22.0,92.0,82.0,39.0,45.0,84.0,81.0
65,Gabriel Teodoro Martinelli Silva,1840,1,66.0,74.0,68.0,67.0,61.0,76.0,70.0,49.0,45.0,75.0,87.0,86.0,83.0,76.0,60.0,75.0,37.0,74.0,60.0,40.0,43.0
66,Dejan Kulusevski,1958,0,74.0,70.0,54.0,79.0,44.0,80.0,74.0,47.0,73.0,82.0,82.0,81.0,64.0,90.0,76.0,67.0,55.0,73.0,57.0,64.0,58.0
67,Karim Adeyemi,1745,0,61.0,69.0,62.0,67.0,66.0,75.0,66.0,59.0,51.0,73.0,89.0,88.0,87.0,58.0,69.0,36.0,17.0,63.0,66.0,19.0,25.0
68,William Saliba,1720,1,46.0,25.0,69.0,73.0,34.0,66.0,55.0,35.0,66.0,70.0,67.0,71.0,52.0,70.0,23.0,70.0,77.0,39.0,47.0,75.0,73.0
69,Marc Cucurella Saseta,2107,0,80.0,67.0,57.0,81.0,55.0,79.0,78.0,48.0,79.0,80.0,80.0,81.0,78.0,88.0,65.0,76.0,73.0,79.0,47.0,78.0,77.0
70,Reinier Jesus Carvalho,1837,1,58.0,68.0,59.0,67.0,70.0,77.0,72.0,55.0,57.0,74.0,84.0,80.0,78.0,69.0,64.0,60.0,31.0,68.0,67.0,47.0,40.0
71,Sam Lammers,1817,0,58.0,77.0,72.0,67.0,64.0,80.0,65.0,45.0,43.0,75.0,76.0,75.0,78.0,75.0,74.0,49.0,36.0,74.0,77.0,21.0,19.0
72,João Félix Sequeira,2060,1,73.0,82.0,69.0,77.0,80.0,83.0,81.0,64.0,67.0,83.0,79.0,83.0,85.0,75.0,81.0,69.0,38.0,84.0,68.0,42.0,35.0
73,Ryan Gravenberch,1875,1,60.0,64.0,58.0,77.0,63.0,77.0,66.0,56.0,76.0,76.0,69.0,76.0,78.0,64.0,62.0,52.0,58.0,59.0,58.0,57.0,49.0
74,Nordi Mukiele,1950,1,74.0,30.0,74.0,73.0,35.0,73.0,69.0,33.0,70.0,74.0,77.0,87.0,68.0,75.0,52.0,72.0,83.0,59.0,45.0,85.0,82.0
75,Federico Valverde,2173,1,66.0,70.0,59.0,85.0,70.0,79.0,70.0,66.0,84.0,82.0,82.0,89.0,76.0,86.0,81.0,81.0,81.0,76.0,59.0,80.0,76.0
76,Achraf Hakimi,2122,1,81.0,73.0,63.0,81.0,60.0,84.0,68.0,55.0,72.0,83.0,93.0,95.0,77.0,86.0,63.0,72.0,78.0,75.0,46.0,74.0,76.0
77,Pedro González López,1805,1,61.0,63.0,49.0,75.0,45.0,77.0,64.0,51.0,77.0,71.0,86.0,75.0,88.0,58.0,60.0,59.0,28.0,68.0,53.0,55.0,53.0
78,Rodrygo Silva de Goes,1929,1,72.0,78.0,62.0,73.0,67.0,84.0,80.0,73.0,57.0,80.0,88.0,86.0,87.0,81.0,71.0,54.0,21.0,83.0,74.0,36.0,32.0
79,Callum Hudson-Odoi,1801,1,66.0,67.0,53.0,71.0,59.0,82.0,67.0,64.0,65.0,80.0,86.0,84.0,85.0,66.0,60.0,50.0,23.0,64.0,55.0,33.0,36.0
80,Luis Henrique Tomaz de Lima,1651,1,60.0,66.0,60.0,61.0,57.0,72.0,59.0,41.0,45.0,66.0,85.0,83.0,69.0,65.0,50.0,49.0,24.0,67.0,62.0,34.0,31.0
81,Lionel Messi,2231,0,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,72.0,94.0,44.0,40.0,93.0,75.0,35.0,24.0
82,Mickaël Cuisance,1926,0,79.0,59.0,49.0,78.0,63.0,75.0,85.0,75.0,73.0,74.0,76.0,66.0,83.0,64.0,78.0,57.0,48.0,61.0,61.0,61.0,55.0
83,Everton Sousa Soares,1940,1,74.0,76.0,45.0,75.0,71.0,87.0,76.0,56.0,67.0,81.0,89.0,84.0,87.0,75.0,75.0,43.0,36.0,83.0,64.0,33.0,29.0
84,Ferran Torres García,1942,1,77.0,77.0,70.0,80.0,72.0,82.0,71.0,48.0,78.0,79.0,88.0,77.0,80.0,73.0,75.0,45.0,34.0,77.0,66.0,24.0,28.0
85,Adam Hložek,1872,1,67.0,70.0,71.0,70.0,72.0,76.0,68.0,64.0,65.0,75.0,79.0,76.0,70.0,74.0,70.0,69.0,26.0,73.0,64.0,34.0,23.0
86,Joshua Zirkzee,1557,1,35.0,71.0,67.0,59.0,54.0,70.0,61.0,61.0,33.0,69.0,73.0,69.0,67.0,63.0,52.0,43.0,14.0,69.0,50.0,14.0,16.0
87,Myron Boadu,1807,1,52.0,80.0,61.0,69.0,68.0,74.0,62.0,44.0,52.0,75.0,89.0,87.0,87.0,71.0,66.0,44.0,23.0,74.0,66.0,22.0,18.0
88,Alexander Isak,1859,1,61.0,82.0,70.0,72.0,81.0,78.0,67.0,45.0,47.0,81.0,81.0,83.0,80.0,70.0,73.0,52.0,29.0,80.0,75.0,21.0,18.0
89,Ibrahima Konaté,1725,1,38.0,29.0,77.0,75.0,28.0,69.0,32.0,27.0,69.0,69.0,68.0,79.0,65.0,68.0,31.0,77.0,78.0,37.0,41.0,85.0,79.0
90,Joshua Kimmich,2269,1,91.0,66.0,72.0,87.0,67.0,83.0,85.0,61.0,86.0,85.0,77.0,66.0,84.0,95.0,84.0,89.0,82.0,80.0,44.0,84.0,79.0
91,Steven Bergwijn,2047,1,78.0,77.0,60.0,84.0,75.0,87.0,78.0,66.0,62.0,85.0,88.0,87.0,79.0,79.0,83.0,50.0,34.0,78.0,68.0,28.0,26.0
92,Robin Koch,1733,1,40.0,27.0,78.0,71.0,29.0,58.0,31.0,28.0,70.0,70.0,67.0,74.0,62.0,72.0,42.0,73.0,76.0,52.0,38.0,78.0,76.0
93,Reece James,1996,1,81.0,48.0,69.0,73.0,46.0,76.0,70.0,66.0,68.0,76.0,78.0,81.0,74.0,76.0,62.0,70.0,72.0,62.0,50.0,77.0,73.0
94,Joelson Augusto Mendes Mango,1677,1,57.0,58.0,54.0,60.0,65.0,75.0,66.0,59.0,45.0,74.0,91.0,90.0,88.0,51.0,52.0,48.0,21.0,62.0,63.0,21.0,23.0
95,C. Ronaldo dos Santos Aveiro,2221,1,84.0,95.0,90.0,82.0,86.0,88.0,81.0,76.0,77.0,92.0,87.0,91.0,87.0,84.0,93.0,63.0,29.0,95.0,84.0,32.0,24.0
96,Billy Gilmour,1809,1,60.0,53.0,50.0,76.0,59.0,72.0,58.0,54.0,73.0,74.0,67.0,68.0,76.0,65.0,58.0,68.0,66.0,58.0,53.0,68.0,57.0
97,Fábio Daniel Soares Silva,1621,1,41.0,70.0,62.0,46.0,70.0,73.0,52.0,31.0,38.0,72.0,76.0,74.0,72.0,58.0,64.0,54.0,17.0,71.0,70.0,21.0,16.0
98,Mikel Oyarzabal Ugarte,2039,0,82.0,84.0,60.0,81.0,73.0,85.0,74.0,71.0,73.0,84.0,80.0,81.0,80.0,82.0,81.0,52.0,29.0,83.0,83.0,32.0,30.0
99,Richarlison de Andrade,2086,1,73.0,82.0,81.0,77.0,74.0,84.0,74.0,65.0,61.0,80.0,79.0,86.0,78.0,82.0,68.0,82.0,40.0,82.0,75.0,52.0,46.0
100,Jean-Clair Todibo,1757,1,46.0,40.0,69.0,75.0,35.0,62.0,47.0,41.0,67.0,71.0,67.0,78.0,54.0,64.0,41.0,72.0,75.0,41.0,46.0,80.0,71.0
101,Rayan Aït Nouri,1712,0,68.0,40.0,62.0,69.0,36.0,68.0,57.0,42.0,56.0,72.0,66.0,70.0,71.0,63.0,41.0,59.0,69.0,58.0,40.0,71.0,72.0
102,Lautaro Martínez,2115,1,56.0,86.0,84.0,78.0,83.0,87.0,78.0,43.0,73.0,84.0,84.0,83.0,86.0,77.0,74.0,86.0,45.0,85.0,74.0,31.0,44.0
103,Victor Osimhen,1944,1,64.0,83.0,78.0,67.0,75.0,70.0,63.0,48.0,53.0,75.0,81.0,92.0,77.0,86.0,72.0,76.0,34.0,81.0,75.0,38.0,19.0
104,Bright Akwo Arrey-Mbi,1466,0,34.0,25.0,59.0,56.0,30.0,49.0,31.0,29.0,44.0,54.0,66.0,70.0,68.0,62.0,24.0,63.0,53.0,35.0,33.0,64.0,61.0
105,Pedro António Pereira Gonçalves,1942,1,68.0,69.0,40.0,78.0,65.0,80.0,76.0,69.0,76.0,79.0,75.0,73.0,81.0,84.0,74.0,54.0,56.0,73.0,63.0,57.0,50.0
106,Mohammed Kudus,1967,0,59.0,70.0,52.0,73.0,51.0,77.0,65.0,41.0,69.0,79.0,90.0,85.0,90.0,85.0,68.0,71.0,53.0,74.0,64.0,55.0,46.0
107,Anthony Martial,2065,1,72.0,85.0,71.0,80.0,75.0,89.0,84.0,54.0,63.0,87.0,88.0,90.0,83.0,77.0,79.0,54.0,42.0,84.0,81.0,39.0,36.0
108,F. Evanilson de Lima Barbosa,1647,1,32.0,79.0,75.0,72.0,69.0,72.0,67.0,40.0,36.0,71.0,73.0,71.0,63.0,68.0,71.0,29.0,16.0,79.0,69.0,20.0,19.0
109,Kieran Tierney,2029,0,77.0,52.0,59.0,73.0,27.0,75.0,72.0,56.0,68.0,74.0,85.0,86.0,76.0,85.0,66.0,82.0,72.0,67.0,36.0,74.0,74.0
110,Heung Min Son,2128,1,81.0,86.0,68.0,83.0,81.0,88.0,85.0,70.0,70.0,87.0,86.0,90.0,86.0,87.0,90.0,62.0,39.0,88.0,73.0,34.0,33.0
111,Gabriel dos S. Magalhães,1670,0,38.0,31.0,80.0,73.0,28.0,49.0,47.0,27.0,68.0,66.0,60.0,50.0,51.0,67.0,30.0,78.0,78.0,44.0,40.0,81.0,78.0
112,Robin Gosens,2197,0,82.0,77.0,78.0,80.0,71.0,78.0,70.0,58.0,77.0,79.0,84.0,82.0,70.0,86.0,68.0,80.0,77.0,84.0,50.0,78.0,79.0
113,Rabbi Matondo,1704,1,65.0,64.0,47.0,67.0,57.0,74.0,71.0,67.0,56.0,70.0,93.0,94.0,82.0,57.0,52.0,38.0,27.0,59.0,40.0,46.0,34.0
114,Gareth Bale,2213,0,87.0,81.0,84.0,80.0,85.0,80.0,90.0,87.0,79.0,83.0,86.0,89.0,78.0,69.0,87.0,65.0,59.0,83.0,76.0,55.0,52.0
115,Agustín Urzi,1737,0,77.0,59.0,42.0,62.0,59.0,77.0,59.0,43.0,53.0,73.0,85.0,89.0,77.0,76.0,68.0,49.0,31.0,72.0,55.0,31.0,32.0
116,Nuno Albertino Varela Tavares,1888,0,79.0,34.0,54.0,64.0,44.0,75.0,69.0,55.0,50.0,73.0,86.0,88.0,77.0,66.0,66.0,74.0,66.0,66.0,42.0,72.0,66.0
117,Tomás Franco Tavares,1833,1,70.0,42.0,57.0,66.0,38.0,75.0,67.0,37.0,52.0,74.0,78.0,80.0,74.0,72.0,46.0,70.0,72.0,71.0,48.0,74.0,69.0
118,Ousmane Dembélé,1989,0,81.0,75.0,43.0,78.0,76.0,89.0,82.0,64.0,76.0,84.0,93.0,92.0,89.0,68.0,76.0,54.0,36.0,77.0,75.0,30.0,33.0
119,Alejandro Grimaldo García,2183,0,84.0,52.0,66.0,81.0,61.0,84.0,85.0,81.0,79.0,83.0,86.0,84.0,84.0,90.0,79.0,69.0,81.0,75.0,54.0,78.0,79.0
120,Donny van de Beek,2171,1,67.0,79.0,69.0,82.0,80.0,76.0,78.0,65.0,79.0,85.0,67.0,73.0,72.0,92.0,80.0,75.0,73.0,84.0,63.0,74.0,68.0
121,Denis Zakaria,2066,1,68.0,66.0,67.0,83.0,35.0,78.0,64.0,46.0,76.0,80.0,81.0,85.0,68.0,80.0,63.0,89.0,81.0,65.0,38.0,84.0,80.0
122,Eduardo Filipe Quaresma,1522,1,32.0,28.0,68.0,66.0,30.0,51.0,30.0,35.0,50.0,65.0,55.0,65.0,40.0,41.0,23.0,75.0,71.0,28.0,43.0,75.0,72.0
123,Aaron Wan-Bissaka,2007,1,74.0,44.0,58.0,74.0,43.0,82.0,68.0,45.0,56.0,77.0,84.0,88.0,85.0,79.0,46.0,78.0,83.0,69.0,56.0,85.0,90.0
124,Bruno Guimarães Moura,2057,1,66.0,60.0,64.0,83.0,66.0,78.0,73.0,62.0,81.0,80.0,70.0,69.0,71.0,82.0,67.0,74.0,74.0,66.0,65.0,76.0,70.0
125,Philippe Coutinho Correia,2103,1,79.0,76.0,48.0,82.0,78.0,89.0,90.0,86.0,78.0,89.0,77.0,68.0,91.0,74.0,86.0,59.0,49.0,81.0,70.0,54.0,47.0
126,Tanguy Kouassi,1654,1,37.0,32.0,72.0,69.0,37.0,62.0,41.0,31.0,66.0,65.0,70.0,68.0,55.0,71.0,25.0,70.0,69.0,36.0,42.0,73.0,68.0
127,Illan Meslier,1062,0,14.0,9.0,10.0,40.0,5.0,20.0,12.0,10.0,33.0,26.0,21.0,33.0,24.0,32.0,17.0,27.0,19.0,8.0,11.0,15.0,17.0
128,Declan Rice,1815,1,39.0,31.0,69.0,79.0,33.0,68.0,55.0,32.0,74.0,76.0,62.0,67.0,53.0,79.0,56.0,80.0,78.0,52.0,30.0,81.0,79.0
129,Timo Werner,2026,1,69.0,88.0,78.0,78.0,86.0,84.0,70.0,58.0,55.0,85.0,93.0,89.0,83.0,83.0,78.0,63.0,37.0,88.0,78.0,20.0,19.0
130,Renan Augusto Lodi dos Santos,2151,0,81.0,64.0,68.0,76.0,59.0,81.0,81.0,57.0,75.0,81.0,85.0,83.0,83.0,84.0,68.0,78.0,76.0,76.0,54.0,77.0,78.0
131,Sander Berge,1954,1,65.0,34.0,79.0,82.0,48.0,77.0,68.0,50.0,79.0,79.0,59.0,76.0,56.0,86.0,55.0,72.0,77.0,65.0,46.0,77.0,67.0
132,Donyell Malen,1901,1,66.0,82.0,67.0,69.0,74.0,82.0,66.0,57.0,52.0,80.0,89.0,90.0,83.0,74.0,70.0,60.0,31.0,77.0,74.0,22.0,16.0
133,Jeremie Frimpong,1850,1,69.0,48.0,50.0,68.0,38.0,76.0,64.0,47.0,54.0,75.0,92.0,89.0,88.0,74.0,47.0,66.0,60.0,59.0,39.0,67.0,65.0
